PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap
39538,57708110,MAT,21168,2014-06-30,38.970000,13160169.00
39538,57708110,MAT,21168,2014-07-31,35.425000,11968265.40
39538,57708110,MAT,21168,2014-08-29,34.490000,11652377.52
39538,57708110,MAT,21168,2014-09-30,30.650000,10384220.00
39538,57708110,MAT,21168,2014-10-31,31.070000,10527354.89
39538,57708110,MAT,21168,2014-11-28,31.550000,10689991.85
39538,57708110,MAT,21168,2014-12-31,30.945000,10462504.50
39538,57708110,MAT,21168,2015-01-30,26.900000,9094890.00
39538,57708110,MAT,21168,2015-02-27,26.320000,8902845.28
39538,57708110,MAT,21168,2015-03-31,22.850000,7732440.00
39538,57708110,MAT,21168,2015-04-30,28.160000,9527626.24
39538,57708110,MAT,21168,2015-05-29,25.810000,8732529.59
39538,57708110,MAT,21168,2015-06-30,25.690000,8698634.00
39538,57708110,MAT,21168,2015-07-31,23.210000,7859207.73
39538,57708110,MAT,21168,2015-08-31,23.430000,7933702.59
39538,57708110,MAT,21168,2015-09-30,21.060000,7145658.00
39538,57708110,MAT,21168,2015-10-30,24.580000,8341321.32
39538,57708110,MAT,21168,2015-11-30,24.860000,8436340.44
39538,57708110,MAT,21168,2015-12-31,27.170000,9229649.00
39538,57708110,MAT,21168,2016-01-29,27.590000,9372323.00
39538,57708110,MAT,21168,2016-02-29,32.520000,11056995.12
39538,57708110,MAT,21168,2016-03-31,33.620000,11444248.00
39538,57708110,MAT,21168,2016-04-29,31.090000,10584466.14
39538,57708110,MAT,21168,2016-05-31,31.880000,10853418.48
39538,57708110,MAT,21168,2016-06-30,31.290000,10657374.00
39538,57708110,MAT,21168,2016-07-29,33.380000,11369862.22
39538,57708110,MAT,21168,2016-08-31,33.130000,11284707.47
39538,57708110,MAT,21168,2016-09-30,30.280000,10358788.00
39538,57708110,MAT,21168,2016-10-31,31.530000,10784678.85
39538,57708110,MAT,21168,2016-11-30,31.570000,10798360.65
39538,57708110,MAT,21168,2016-12-30,27.550000,9433120.00
39538,57708110,MAT,21168,2017-01-31,26.210000,8974304.00
39538,57708110,MAT,21168,2017-02-28,25.730000,8811109.85
39538,57708110,MAT,21168,2017-03-31,25.610000,8773986.00
39538,57708110,MAT,21168,2017-04-28,22.420000,7680105.52
39538,57708110,MAT,21168,2017-05-31,22.910000,7847957.96
39538,57708110,MAT,21168,2017-06-30,21.530000,7378331.00
